,city,year,company,car_name,name,model,price,kms_driven,owner,fuel_type,car_link
778,Mumbai,2016,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,436199,40124,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1037510441/
779,Mumbai,2018,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,507299,22796,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-mumbai-1039845264/
780,Mumbai,2017,Maruti,Wagon R 1.0,Maruti Wagon R 1.0,Manual,393999,11435,3,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-mumbai-1067708148/
781,Mumbai,2014,Maruti,Swift  ,Maruti Swift  ,Manual,411099,58873,2,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-mumbai-1039894369/
782,Mumbai,2019,Renault,Kwid  ,Renault Kwid  ,Automatic,460099,7765,1,Petrol,https://www.cars24.com/buy-used-renault-kwid-2019-cars-mumbai-1063536409/
783,Mumbai,2014,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,417699,26735,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-mumbai-1037754160/
784,Mumbai,2014,Toyota,Corolla Altis ,Toyota Corolla Altis ,Manual,693699,55578,1,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2014-cars-mumbai-1032051368/
785,Mumbai,2014,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,433899,26983,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-mumbai-1032434969/
786,Mumbai,2017,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,540499,22549,2,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1030615404/
787,Mumbai,2017,Volkswagen,Polo  ,Volkswagen Polo  ,Automatic,672499,40279,2,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-mumbai-1039249963/
788,Mumbai,2018,Maruti,Celerio  ,Maruti Celerio  ,Manual,477099,18389,1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-mumbai-1037180564/
789,Mumbai,2017,Maruti,Celerio  ,Maruti Celerio  ,Manual,452099,36763,1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-mumbai-1035263969/
790,Mumbai,2018,Maruti,Celerio  ,Maruti Celerio  ,Manual,530299,6305,1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-mumbai-1030801366/
791,Mumbai,2019,KIA,SELTOS  ,KIA SELTOS  ,Manual,1567899,14370,1,Petrol,https://www.cars24.com/buy-used-kia-seltos-2019-cars-mumbai-1030717805/
792,Mumbai,2016,Volkswagen,Ameo  ,Volkswagen Ameo  ,Manual,450699,38046,2,Petrol,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-mumbai-10348698776/
793,Mumbai,2018,Honda,City  ,Honda City  ,Manual,763299,15132,2,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-mumbai-1030720108/
794,Mumbai,2018,Tata,Tiago  ,Tata Tiago  ,Automatic,534199,48987,1,Petrol,https://www.cars24.com/buy-used-tata-tiago-2018-cars-mumbai-10311296773/
795,Mumbai,2016,Honda,Jazz  ,Honda Jazz  ,Manual,508899,53879,1,Petrol,https://www.cars24.com/buy-used-honda-jazz-2016-cars-mumbai-1037272266/
796,Mumbai,2016,Maruti,Baleno  ,Maruti Baleno  ,Manual,535999,25082,1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-mumbai-1037031369/
797,Mumbai,2020,Maruti,Ciaz  ,Maruti Ciaz  ,Manual,903199,14444,1,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2020-cars-mumbai-1034576865/
798,Mumbai,2016,Volkswagen,Vento  ,Volkswagen Vento  ,Automatic,619099,76689,1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-mumbai-1038512469/
799,Mumbai,2016,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,449899,26979,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1038162905/
