,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
386,Mumbai,2017, Maruti Baleno,RS 1.0 PETROL Manual,"₹6,19,499","29,794 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1036472743/
387,Mumbai,2016, Maruti Baleno,ZETA 1.2 K12 Manual,"₹5,86,699","47,421 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-mumbai-1033519004/
388,Mumbai,2017, Maruti Vitara Brezza,ZDI Manual,"₹7,55,699","78,266 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-mumbai-1030585943/
389,Mumbai,2017, Maruti Wagon R .,VXI+ OPT. AMT Automatic,"₹4,46,799","47,072 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-mumbai-10366192771/
390,Mumbai,2019, Maruti S PRESSO,VXI PLUS Manual,"₹4,27,299","61,555 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2019-cars-mumbai-1031668063/
391,Mumbai,2017, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹7,44,399","46,201 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-mumbai-10324898772/
392,Mumbai,2019, MG HECTOR,SHARP DCT PETROL Automatic,"₹16,14,999","7,231 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-mg-hector-2019-cars-mumbai-1036409442/
393,Mumbai,2019, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹7,88,099","10,356 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1030690565/
394,Mumbai,2017, Ford Ecosport,1.5 TDCI TITANIUM PLUS Manual,"₹7,26,999","30,575 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-mumbai-1039646104/
395,Mumbai,2016, Hyundai Grand i,ASTA AT 1.2 KAPPA VTVT Automatic,"₹5,10,599","71,122 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1038610060/
396,Mumbai,2018, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹7,67,599","25,660 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-mumbai-1034492747/
397,Mumbai,2018, Honda City,ZX CVT Automatic,"₹10,51,799","33,613 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-mumbai-1037937008/
398,Mumbai,2021, Maruti Alto,VXI PLUS Manual,"₹4,49,699","3,401 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-mumbai-1030518367/
399,Mumbai,2018, Maruti Ciaz,ALPHA 1.3 DDIS SHVS Manual,"₹9,09,499","56,836 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-mumbai-1032924765/
400,Mumbai,2018, Ford Figo Aspire,1.5 TREND DIESEL Manual,"₹5,67,399","48,494 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-figo-aspire-2018-cars-mumbai-1032772023/
401,Mumbai,2018, Honda City,ZX CVT Automatic,"₹11,30,299","10,411 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-mumbai-1035894462/
402,Mumbai,2016, Nissan Terrano,XL PLUS 85 PS DEISEL Manual,"₹6,23,599","1,34,109 km",1st Owner,Diesel,https://www.cars24.com/buy-used-nissan-terrano-2016-cars-mumbai-1031075102/
403,Mumbai,2017, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹6,46,699","40,567 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-1031120068/
404,Mumbai,2018, Hyundai Creta,1.6 SX AT CRDI Automatic,"₹13,30,299","42,659 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-mumbai-1035810347/
405,Mumbai,2019, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹8,02,299","8,782 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-mumbai-1030476568/
406,Mumbai,2019, Hyundai VENUE,1.0 SX TURBO GDI DUAL TONE Manual,"₹9,59,199","26,191 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-mumbai-1032337267/
407,Mumbai,2019, Maruti Alto,VXI Manual,"₹3,83,099","8,509 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-mumbai-1036860908/
408,Mumbai,2017, Maruti S Cross,ZETA 1.3 Manual,"₹7,63,199","58,498 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-mumbai-1034071569/
409,Mumbai,2018, Tata NEXON,XZ+ 1.2 DUAL TONE Manual,"₹8,26,099","38,171 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-nexon-2018-cars-mumbai-1030616667/
410,Mumbai,2019, Maruti S Cross,ZETA SHVS Manual,"₹10,79,999","24,639 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2019-cars-mumbai-1031991160/
411,Mumbai,2017, Maruti S Cross,SIGMA 1.3 Manual,"₹7,39,299","86,627 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2017-cars-mumbai-1037710262/
412,Mumbai,2020, KIA SELTOS,GTX 1.4 GDI AT PETROL Automatic,"₹16,82,799","13,868 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2020-cars-mumbai-1037264765/
413,Mumbai,2018, Hyundai Verna,1.6 SX VTVT AT (O) Automatic,"₹11,12,599","47,186 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-mumbai-1039493740/
414,Mumbai,2017, Maruti IGNIS,DELTA 1.2 K12 Manual,"₹4,95,799","21,057 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-mumbai-1039734564/
415,Mumbai,2017, Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,"₹7,66,499","30,212 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-mumbai-1034681600/
416,Mumbai,2018, Jeep Compass,LIMITED O 1.4 AT Automatic,"₹14,57,899","25,897 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-jeep-compass-2018-cars-mumbai-1034320221/
417,Mumbai,2017, Maruti IGNIS,DELTA 1.2 K12 Manual,"₹4,53,099","40,312 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-mumbai-1035674040/
418,Mumbai,2020, KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT Automatic,"₹18,92,957","12,331 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2020-cars-mumbai-1039212765/
419,Mumbai,2017, Maruti Vitara Brezza,ZDI PLUS Manual,"₹7,88,499","1,14,807 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-mumbai-1037323643/
420,Mumbai,2018, Hyundai Verna,1.6 SX VTVT AT (O) Automatic,"₹10,72,799","23,043 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2018-cars-mumbai-1038773503/
421,Mumbai,2018, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹7,86,599","42,503 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-mumbai-1039926048/
422,Mumbai,2019, Maruti Ertiga,ZXI SMART HYBRID AT Automatic,"₹10,50,799","18,762 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-mumbai-1034185868/
423,Mumbai,2012, Maruti Swift Dzire,VDI BS IV Manual,"₹4,41,299","50,487 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-1036659643/
424,Mumbai,2014, Maruti Swift,VXI Manual,"₹3,88,599","56,830 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-mumbai-1034812443/
425,Mumbai,2012, Maruti Swift Dzire,VDI BS IV Manual,"₹4,01,499","1,62,410 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-1035399044/
426,Mumbai,2013, Maruti Alto ,LXI Manual,"₹2,53,199","45,886 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-mumbai-1033083860/
427,Mumbai,2016, Toyota Innova Crysta,2.8 GX AT 8 STR Automatic,"₹14,86,559","74,162 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2016-cars-mumbai-1034520365/
428,Mumbai,2017, Mahindra Scorpio,S10 Intelli Hybrid 2WD Manual,"₹12,46,499","52,077 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-scorpio-2017-cars-mumbai-1032978462/
429,Mumbai,2011, Hyundai i,SPORTZ 1.2 O Manual,"₹3,06,499","94,323 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2011-cars-mumbai-1065037845/
430,Mumbai,2018, Toyota Innova Crysta,2.4 VX 7 STR Manual,"₹18,14,599","38,559 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2018-cars-mumbai-1030029769/
431,Mumbai,2016, Maruti Ertiga,ZDI SHVS Manual,"₹7,79,999","67,194 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-ertiga-2016-cars-mumbai-1034955061/
432,Mumbai,2015, Maruti Wagon R .,LXI Manual,"₹3,46,099","44,433 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-mumbai-1037907960/
433,Mumbai,2016, Maruti Ertiga,ZDI SHVS Manual,"₹8,46,699","58,181 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-ertiga-2016-cars-mumbai-1037029760/
434,Mumbai,2015, Maruti Swift,VDI Manual,"₹4,71,299","1,42,995 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2015-cars-mumbai-1037585841/
435,Mumbai,2019, Maruti Swift,ZXI Manual,"₹6,61,799","21,299 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2019-cars-mumbai-10321293779/
436,Mumbai,2016, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,75,199","6,972 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1065826720/
437,Mumbai,2011, Hyundai i,SPORTZ 1.2 O Manual,"₹3,19,899","40,485 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2011-cars-mumbai-10394798771/
438,Mumbai,2015, Toyota Corolla Altis,G Manual,"₹6,94,899","77,971 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-mumbai-1033082263/
439,Mumbai,2020, Tata Tiago,XZA+ 1.2 RTN Automatic,"₹6,03,499","87,351 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2020-cars-mumbai-10371595795/
440,Mumbai,2020, Renault TRIBER,RXZ AT Automatic,"₹6,89,999","17,396 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2020-cars-mumbai-10335892791/
441,Mumbai,2016, Volkswagen Polo,TRENDLINE 1.2L PETROL Manual,"₹4,79,099","62,629 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2016-cars-mumbai-1030350164/
