,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
256,Chennai,2018, Maruti Dzire,VXI Manual,"₹6,70,999","6,494 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-chennai-1131450967/
257,Chennai,2016, Tata Tiago,XZ 1.2 REVOTRON Manual,"₹4,74,399","28,218 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2016-cars-chennai-11389496716/
258,Chennai,2016, Hyundai Elite i,ASTA 1.2 Manual,"₹6,17,999","29,317 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-chennai-1133057366/
259,Chennai,2014, Hyundai Xcent,S 1.2 OPT Manual,"₹4,45,799","51,340 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-chennai-11306795795/
260,Chennai,2014, Maruti Alto ,LXI Manual,"₹2,50,799","40,462 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-chennai-1135936226/
261,Chennai,2016, Maruti Celerio,VXI Manual,"₹4,00,799","40,816 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-chennai-1135573465/
262,Chennai,2015, Hyundai Grand i,SPORTS 1.2 VTVT Manual,"₹4,33,099","24,508 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-chennai-1134359202/
263,Chennai,2015, Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,"₹5,72,399","79,905 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-chennai-1132514862/
264,Chennai,2021, Hyundai VENUE,S Plus MT 1.2 Kappa Manual,"₹9,12,399","7,283 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-chennai-11397591790/
265,Chennai,2019, Hyundai Verna,1.6 SX+ VTVT AT Automatic,"₹11,66,599","25,845 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2019-cars-chennai-11319997770/
266,Chennai,2015, Honda City,V MT PETROL Manual,"₹5,45,499","80,042 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2015-cars-chennai-1137943848/
267,Chennai,2016, Hyundai Grand i,ASTA 1.2 VTVT Manual,"₹5,12,437","69,645 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-chennai-1135288468/
268,Chennai,2018, Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"₹4,01,799","34,411 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2018-cars-chennai-1136688722/
269,Chennai,2014, Maruti Alto ,LXI Manual,"₹2,67,699","54,988 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-chennai-1133178369/
270,Chennai,2017, Maruti Swift,VXI OPT Manual,"₹5,69,999","33,051 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1139244166/
271,Chennai,2019, Renault TRIBER,1.0 RXZ Manual,"₹7,28,399","9,223 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-chennai-11312993717/
272,Chennai,2016, Mahindra Kuv,K6 6 STR Manual,"₹4,26,999","54,056 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mahindra-kuv100-2016-cars-chennai-1135236461/
273,Chennai,2018, Maruti Celerio,VXI (O) Manual,"₹4,59,899","26,238 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-chennai-1133533869/
274,Chennai,2014, Ford Ecosport,1.5 TITANIUMTDCI OPT Manual,"₹4,63,499","1,51,683 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-chennai-1134918421/
275,Chennai,2015, Hyundai i,SPORTZ 1.1 IRDE2 Manual,"₹4,00,899","33,387 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2015-cars-chennai-1139684069/
276,Chennai,2018, Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"₹3,97,799","21,087 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2018-cars-chennai-1137257340/
277,Chennai,2017, Honda Jazz,VX  1.2 Manual,"₹6,19,313","16,921 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-chennai-11394397791/
278,Chennai,2019, Datsun Redi Go,A Manual,"₹2,91,099","19,532 km",1st Owner,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2019-cars-chennai-11342498710/
279,Chennai,2016, Maruti Alto ,LXI Manual,"₹2,93,299","27,952 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-chennai-1136707763/
280,Chennai,2021, Maruti S PRESSO,VXI PLUS AGS Automatic,"₹5,38,499","2,238 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-chennai-1134098964/
