,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
269,Ahmedabad,2019, Maruti XL,ALPHA SHVS  MT Manual,"₹9,97,899","70,215 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-surat-13504099796/
270,Ahmedabad,2018, Hyundai Xcent,S 1.2 Manual,"₹5,66,199","59,008 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2018-cars-ahmedabad-1146506267/
271,Ahmedabad,2018, Hyundai Elite i,ASTA 1.2 Manual,"₹7,56,099","20,748 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-surat-1350776867/
272,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹4,08,799","20,563 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-11491192791/
273,Ahmedabad,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,54,799","9,711 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-1148550060/
274,Ahmedabad,2017, Datsun Redi Go,S 1.0 Manual,"₹2,92,699","27,558 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-ahmedabad-1143373566/
275,Ahmedabad,2020, Honda City,VX CVT PETROL Automatic,"₹13,64,799","13,069 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-ahmedabad-11443291777/
276,Ahmedabad,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,68,499","21,948 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-surat-1357273467/
277,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹4,33,229","10,873 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-11479896710/
278,Ahmedabad,2020, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,90,099","16,493 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-1147472666/
279,Ahmedabad,2019, Maruti Baleno,ZETA 1.2 K12 Manual,"₹6,77,799","46,597 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-11470491795/
280,Ahmedabad,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,90,899","12,248 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-1149283668/
281,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹4,25,299","5,479 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1142432266/
282,Ahmedabad,2020, Maruti S PRESSO,VXI PLUS Manual,"₹4,60,599","23,113 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-ahmedabad-11452990778/
283,Ahmedabad,2019, Hyundai Grand i,1.2 KAPPA SPORTZ (O) Manual,"₹6,20,199","12,536 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-ahmedabad-1140324267/
284,Ahmedabad,2018, Maruti Baleno,ZETA 1.2 K12 Manual,"₹6,46,299","19,607 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-gandhinagar-1428013769/
285,Ahmedabad,2017, Jeep Compass,2.0 LIMITED 4*2 Manual,"₹10,30,399","1,49,068 km",1st Owner,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-ahmedabad-1358479802/
286,Ahmedabad,2019, Maruti S PRESSO,VXI PLUS Manual,"₹4,36,599","23,781 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2019-cars-ahmedabad-1143893361/
287,Ahmedabad,2017, Maruti Alto ,LXI Manual,"₹3,12,299","49,925 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-1146020465/
288,Ahmedabad,2020, Honda City,ZX MT PETROL ,"₹13,02,311","23,319 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-ahmedabad-1427471460/
289,Ahmedabad,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,18,099","16,295 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-ahmedabad-1142938862/
290,Ahmedabad,2019, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹8,07,123","65,130 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2019-cars-ahmedabad-1143672468/
291,Ahmedabad,2017, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹5,99,299","72,430 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-gandhinagar-1421642563/
292,Ahmedabad,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,48,299","32,404 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-ahmedabad-11478095791/
293,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹4,01,899","13,829 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1149473462/
294,Ahmedabad,2019, Maruti Baleno,ZETA 1.2 K12 Manual,"₹6,70,799","9,092 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-1147528565/
295,Ahmedabad,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,10,299","67,349 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-surat-1356324463/
296,Ahmedabad,2018, Honda City,ZX CVT Automatic,"₹10,17,699","18,365 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-ahmedabad-1146430407/
297,Ahmedabad,2017, Hyundai New Elantra,1.6 SX AT O Automatic,"₹13,06,499","74,829 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-new-elantra-2017-cars-ahmedabad-1147454162/
298,Ahmedabad,2020, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,94,799","9,727 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-1145332769/
299,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","34,626 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148226468/
300,Ahmedabad,2019, Maruti Alto ,LXI Manual,"₹3,23,599","22,118 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-ahmedabad-1141611368/
301,Ahmedabad,2017, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹5,30,899","43,667 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1146386268/
302,Ahmedabad,2020, Honda City,VX CVT PETROL Automatic,"₹13,01,299","29,880 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-ahmedabad-1140792766/
303,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,84,099","13,230 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-surat-1359193569/
304,Ahmedabad,2019, Maruti Alto ,LXI Manual,"₹3,52,899","11,987 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-ahmedabad-11453090774/
305,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","35,950 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1141651266/
306,Ahmedabad,2020, Maruti Baleno,DELTA 1.2 K12 Manual,"₹7,22,599","46,150 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-11463392799/
307,Ahmedabad,2020, Hyundai NEW SANTRO,1.1 MAGNA CNG MT Manual,"₹5,72,699","61,631 km",1st Owner,Petrol + CNG,https://www.cars24.com/buy-used-hyundai-new-santro-2020-cars-ahmedabad-1141934465/
308,Ahmedabad,2018, Skoda Octavia,LK 1.8 TSI AT Automatic,"₹18,59,599","62,014 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-octavia-2018-cars-ahmedabad-11424895777/
309,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,02,299","85,654 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1141490005/
310,Ahmedabad,2018, Volkswagen Vento,HIGHLINE PLUS TDI AT Automatic,"₹10,40,399","77,796 km",1st Owner,Diesel,https://www.cars24.com/buy-used-volkswagen-vento-2018-cars-ahmedabad-11414899798/
311,Ahmedabad,2017, Hyundai Grand i,Sportz(O) 1.2 MT Manual,"₹5,40,699","30,579 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1149520369/
312,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹3,67,099","10,874 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1147014108/
313,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,04,799","66,113 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148589465/
314,Ahmedabad,2017, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,12,699","46,727 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-ahmedabad-11429899774/
315,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹3,94,099","11,080 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-15077494779/
316,Ahmedabad,2018, Hyundai Creta,1.6 SX AT PETROL Automatic,"₹11,89,799","63,556 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-ahmedabad-1148134860/
317,Ahmedabad,2017, Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹4,20,499","71,695 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-ahmedabad-1145244169/
318,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹4,09,499","17,986 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1148602464/
319,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,85,553","12,173 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1146441066/
320,Ahmedabad,2019, Maruti Baleno,ALPHA 1.2 K12 Manual,"₹7,07,199","39,999 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-ahmedabad-11474994798/
321,Ahmedabad,2018, Datsun Redi Go,T (O) 1.0 LIMITED EDITION ,"₹3,15,499","25,113 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2018-cars-ahmedabad-1142290269/
322,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,23,199","60,531 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1146663868/
323,Ahmedabad,2020, Maruti Alto,VXI Manual,"₹3,92,799","32,856 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1147098166/
324,Ahmedabad,2020, Maruti Baleno,ZETA 1.2 K12 Manual,"₹7,36,099","27,391 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-11435395777/
325,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,16,999","60,555 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1144202467/
326,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹4,21,699","5,601 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-11431199796/
327,Ahmedabad,2017, Hyundai Grand i,SPORTZ (O) 1.2 AT VTVT Automatic,"₹6,03,899","21,353 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1140974864/
328,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹3,72,299","21,900 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-1145477269/
329,Ahmedabad,2018, Maruti Baleno,ZETA 1.2 K12 Manual,"₹6,81,699","23,995 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-surat-1356426369/
330,Ahmedabad,2017, Hyundai Elite i,ASTA 1.2 (O) Manual,"₹7,03,399","45,065 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-ahmedabad-1148883669/
331,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","24,528 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-11436994775/
332,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","24,707 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1146336965/
333,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,79,699","20,100 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1146063461/
334,Ahmedabad,2020, Maruti Baleno,ZETA 1.2 K12 Manual,"₹7,37,899","60,326 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-ahmedabad-11464797792/
335,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,74,199","32,152 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1141835169/
336,Ahmedabad,2019, Ford FREESTYLE,TITANIUM + 1.2 TI-VCT Manual,"₹5,66,799","53,680 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-freestyle-2019-cars-ahmedabad-1143844166/
337,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,14,599","28,716 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148615062/
338,Ahmedabad,2019, Maruti Alto ,LXI Manual,"₹3,45,799","37,762 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-ahmedabad-1148243665/
339,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","19,538 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-11449796799/
340,Ahmedabad,2017, Hyundai Verna,1.6 SX VTVT Manual,"₹7,94,499","49,169 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-ahmedabad-1350762205/
341,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,52,299","43,043 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1140696705/
342,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","21,449 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148824064/
343,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,31,499","27,379 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1147062864/
344,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,35,199","32,224 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-gandhinagar-1420824163/
345,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,30,599","26,624 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-11445299791/
346,Ahmedabad,2019, Maruti Alto ,LXI Manual,"₹3,37,999","16,045 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-ahmedabad-1149591506/
347,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,16,899","15,024 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-1148531900/
348,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,62,399","21,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1427151569/
349,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,44,999","30,051 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-gandhinagar-1429685562/
350,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,36,099","12,815 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-1145166603/
351,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,44,999","20,088 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-1147723563/
352,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,44,999","31,787 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-1145697369/
353,Ahmedabad,2020, Maruti Alto,LXI Manual,"₹3,55,299","23,687 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-ahmedabad-1149459860/
354,Ahmedabad,2019, Maruti Alto,LXI Manual,"₹3,27,699","16,523 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-1146525362/
355,Ahmedabad,2021, Maruti Alto,LXI Manual,"₹3,91,299","27,391 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-ahmedabad-1142423666/
