,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
197,Pune,2013, Hyundai i,SPORTZ 1.2 AT KAPPA2 Automatic,"₹3,82,299","39,557 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-pune-1036802447/
198,Pune,2018, Maruti Swift,VXI AMT Automatic,"₹6,87,799","22,989 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2018-cars-pune-1063616767/
199,Pune,2018, Toyota Innova Crysta,2.4 VX 7 STR Manual,"₹18,14,599","37,082 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2018-cars-pune-1031672168/
200,Pune,2013, Hyundai i,MAGNA O 1.2 Manual,"₹3,40,499","1,15,474 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-pune-1038554021/
201,Pune,2015, Maruti Alto K,VXI AMT Automatic,"₹3,77,799","16,285 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-pune-1064445661/
202,Pune,2014, Hyundai Grand i,MAGNA 1.2 KAPPA VTVT Manual,"₹4,03,399","61,565 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-pune-1067127268/
203,Pune,2018, Toyota Innova Crysta,2.4 VX 8 STR Manual,"₹17,37,899","44,195 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2018-cars-pune-1030636146/
204,Pune,2019, Maruti Vitara Brezza,ZDI Manual,"₹8,75,199","48,396 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-1062865609/
205,Pune,2019, Renault TRIBER,1.0 RXZ Manual,"₹6,66,899","15,847 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-pune-1066751767/
206,Pune,2016, Maruti Alto ,LXI Manual,"₹3,10,599","32,054 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-pune-1064091268/
207,Pune,2015, Maruti Alto K,VXI Manual,"₹3,05,899","64,814 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-pune-1068468409/
208,Pune,2015, Mahindra XUV,W8 FWD Manual,"₹8,83,799","42,820 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2015-cars-pune-1039886533/
209,Pune,2016, Maruti Baleno,SIGMA 1.2 K12 Manual,"₹5,33,699","44,778 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-pune-1065736260/
210,Pune,2015, Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹8,50,999","59,326 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-mumbai-1030332569/
211,Pune,2017, Maruti Vitara Brezza,LDI OPT Manual,"₹7,11,299","33,285 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-pune-1030079345/
212,Pune,2013, Mahindra XUV,W8 FWD Manual,"₹7,77,199","89,456 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2013-cars-pune-1063021660/
213,Pune,2016, Renault Duster,85 PS RXL Manual,"₹6,33,899","1,17,368 km",1st Owner,Diesel,https://www.cars24.com/buy-used-renault-duster-2016-cars-pune-1062248049/
